Project Name,Category
Clusterpedia,"Cloud, Containers & Virtualization"
"Dronecode Project, Inc.","IoT & Embedded, Safety-Critical Systems"
Datashim,"Cloud, Containers & Virtualization"
CommonTraceFormat,"Linux Kernel, System Administration"
ClusterDuck Protocol,"Containers & Virtualization, IoT & Embedded, Networking & Edge, Open Hardware"
Egeria,AI / ML / Data Analytics
Electron,Web App Development
DevOps Automation,"CI/CD & Site Reliability, DevOps"
CRI-O,"Cloud, Containers & Virtualization"
EVE,"Cloud, Containers & Virtualization"
COBOL Working Group,Web App Development
DLRover,AI / ML / Data Analytics
Containerd,"Cloud, Containers & Virtualization"
DAOS Project,Storage
Envoy Mobile,"Cloud, Containers & Virtualization, Networking & Edge"
External API Framework (ExtAPI),"Cloud, Containers & Virtualization, Networking & Edge"
Disaggregated Network Operating System (DANOS),Networking & Edge
Etcd,"CI/CD & Site Reliability, Cloud, Containers & Virtualization, DevOps"
Docling,AI / ML / Data Analytics
Dalec,"Cloud, Containers & Virtualization, Privacy & Security"
Cyber Domain Ontology Project,Privacy & Security
Currency Reference Data,AI / ML / Data Analytics
Decentralized Identity Foundation (DIF),"Blockchain, Privacy & Security"
Distribution,"Cloud, Containers & Virtualization"
Diversity & Inclusion Working Group,Cross-Technology
Dex,"Cloud, Containers & Virtualization"
Concerto,"Blockchain, Web App Development"
DTS,Networking & Edge
Contour,"Cloud, Containers & Virtualization"
Common Controller SDK (CCSDK),"Cloud, Containers & Virtualization, Networking & Edge"
Connected Data Specification - Registration Working Group (CDS WG1),"Cross-Technology, Safety-Critical Systems"
Flux,Cloud
Grid Vantage,Cross-Technology
GridFM,Cross-Technology
Gardener,Cloud
Headlamp,Cloud
Greenhouse,Cloud
Fluid Project,AI / ML / Data Analytics
Harbor,Cloud
Fluentd,Cloud
Hyperledger Fabric,Blockchain
JDF International,Cross-Technology
GraphQL IDE Monorepo,Web App Development
Grid eXchange Fabric (GXF),Cloud
Hardware Standards Working Group,Open Hardware
Git Proxy,Privacy & Security
Horovod,AI / ML / Data Analytics
High Performance Software Foundation (HPSF),Cross-Technology
Hyperlight,Cloud
Jaeger,Cloud
Hyperledger Cello,Blockchain
ForestFlow,AI / ML / Data Analytics
index-import,Web App Development
Interledger.js,Web App Development
InterUSS Platform,Safety-Critical Systems
Flyte,AI / ML / Data Analytics
http://FD.io,Networking & Edge
Infrastructure Utils,Networking & Edge
Home Edge,Cloud
Hyperledger Cacti,Blockchain
HAMi,Cloud
Hyperledger Solang,Blockchain
Inclusive Naming Initiative Fund (INI),Open Source Compliance
Grid Simulation and Modeling SIG,Cross-Technology
FledgePower,IoT & Embedded
HVMI,Cloud
InnerSource Special Interest Group,Open Source Compliance
interLink,Cloud
FIDOPower,Cross-Technology
Golang Toolset for VPP (GoVPP),Networking & Edge
FlexMeasures,AI / ML / Data Analytics
FIDO Device Onboard,Privacy & Security
Genius,Networking & Edge
InterUSS Platform Fund,Safety-Critical Systems
Globalize,Web App Development
Grid2Op,Cross-Technology
Feilong,System Administration
FDC3 Conformance Framework,Open Source Compliance
IREE,AI / ML / Data Analytics
HospitalRun,Web App Development
Islet,Cross-Technology
Java APIs for VPP (JVPP),Networking & Edge
Hyperledger Indy,Blockchain
GraphiQL,Web App Development
GraphQL over HTTP,Web App Development
HPCToolkit,Cross-Technology
Galasa,Cross-Technology
GenevaERS,AI / ML / Data Analytics
Honeycomb 2 VPP (Hc2vpp),Networking & Edge
Hyphae,Safety-Critical Systems
HPX,Cross-Technology
JanusGraph,AI / ML / Data Analytics
Feast,AI / ML / Data Analytics
GraphQL Foundation,Web App Development
Hyperledger Identus,Blockchain
Fossology,Privacy & Security
GraphQL Working Group,Web App Development
Fledge,IoT & Embedded
gRPC,Cloud
Hexa,Cloud
IPPUSBXD,IoT & Embedded
Janssen,Privacy & Security
Flatcar,Cloud
GrimoireLab,AI / ML / Data Analytics
Foomatic,IoT & Embedded
FinOps FOCUS,Cloud
FinOps Foundation,Open Source Compliance
in-toto,Privacy & Security
Grid Edge Interoperability & Security Alliance (GEISA),Cross-Technology
GraphQL.js,Web App Development
GraphQL Specification,Web App Development
Holmes,Networking & Edge
FRRouting,Networking & Edge
IPDK,Cross-Technology
FINOS (The Fintech Open Source Foundation),Cross-Technology
Functest,Networking & Edge
Hyperledger Iroha,Blockchain
FDC3,AI / ML / Data Analytics
Green Software Foundation Fund,Cross-Technology
Financial Objects,Web App Development
IO Visor Project,Linux Kernel
Gramine Project,Privacy & Security
IronCore,Cloud
ISAC-SIMO,AI / ML / Data Analytics
Helm,Cloud
iPDS Project,Blockchain
For Racial Justice,Cross-Technology
Inspektor Gadget,Cloud
Grunt,Web App Development
Intern,Web App Development
Hyperledger Bevel,Blockchain
kagent,Cloud
http://Kepler.GL,AI / ML / Data Analytics
metal3-io,Cloud
LF Energy Standards and Specifications (LFESS),Cross-Technology
jQuery,Web App Development
Kuberef,Networking & Edge
Joint Development Foundation,Cross-Technology
k3s,Cloud
LF Energy (LFE),Cross-Technology
Mainframe Open Education,Cross-Technology
KernelCI Foundation,Linux Kernel
Longhorn,Cloud
LakeSoul,AI / ML / Data Analytics
KubeVirt,Containers & Virtualization
Linux Distributions Working Group,Linux Kernel
LF Decentralized Trust Labs,Blockchain
Kubernetes AI Toolchain Operator (KAITO),Cloud
Liquid Prep,IoT & Embedded
Linux Vendor Firmware Service (LVFS),IoT & Embedded
K8STARS,Cloud
Machine Learning eXchange (MLX),AI / ML / Data Analytics
KubeEdge,Cloud
LF Decentralized Trust,Blockchain
Kokkos Project,Cross-Technology
KiCad,Open Hardware
kgateway,Cloud
JerryScript,Web App Development
L3AF,Linux Kernel
LTTng,Linux Kernel
JDF Projects LLC,Cross-Technology
Kompute,AI / ML / Data Analytics
Keylime,Cloud
kube-rs,Cloud
LinuxBoot,Linux Kernel
Kuma,Cloud
Konveyor,Cloud
"LF Projects, LLC",Cross-Technology
k0s,Cloud
kube-vip,Cloud
Lura Project,Web App Development
"LF Open Source, LLC",Cross-Technology
kubewarden,Cloud
Kube-OVN,Cloud
Kured,Cloud
Jupyter Foundation,AI / ML / Data Analytics
Kepler,Cloud
Marquez,AI / ML / Data Analytics
LF Energy Semantic Energy Framework (LFE-SEF),Cross-Technology
Loopback,Web App Development
Mainframe Software Hub for Linux,Cross-Technology
Let's Encrypt,Privacy & Security
LF AI & Data,AI / ML / Data Analytics
KubeArmor,Cloud
messageformat,Web App Development
Lodash,Web App Development
Laminas,Web App Development
MAVSDK,Safety-Critical Systems
MaterialX,Visual Effects
k8gb,Cloud
KUDO,Cloud
KEDA,Cloud
Jenkins,DevOps
MessageML Utilities,Web App Development
Keycloak,Cloud
JSON Schema,Web App Development
kernelCI Project,Linux Kernel
Keystone,Privacy & Security
Legend,AI / ML / Data Analytics
Magma,Networking & Edge
LISP Flow Mapping,Networking & Edge
Jenkins X,DevOps
Margo,Networking & Edge
kdb+,AI / ML / Data Analytics
Linux Foundation Europe,Cross-Technology
MedCreds,Privacy & Security
Linkerd,Cloud
Long-Term Support Initiative (LTSI),Linux Kernel
LF Networking (LFN),Networking & Edge
Kronos,Web App Development
Logging Enhancements,Networking & Edge
Kyverno,Cloud
KitOps,Cloud
Kedro Project,AI / ML / Data Analytics
Let,Privacy & Security
Meshery,Cloud
Lima,Cloud
Knative,Cloud
KusionStack,Cloud
MD-SAL,Networking & Edge
Ludwig,AI / ML / Data Analytics
K8up,Cloud
Luigi,Cloud
Kubescape,Cloud
Marko,Web App Development
LF Edge,Networking & Edge
Kubernetes,Cloud
Magma Fund,Networking & Edge
MAVLink,Safety-Critical Systems
LitmusChaos,Cloud
KubeVela,Cloud
Open Alliance for Cloud Adoption (OACA),Open Source Compliance
Node.js,Web App Development
MOJA Global Project,IoT & Embedded
OpenBao,Networking & Edge
Open Mobile Hub,Cloud
Moment,Web App Development
Open Data Product Specification,AI / ML / Data Analytics
O-RAN Software Community,Networking & Edge
O-RAN Central Unit (OCU),Networking & Edge
OAAX,AI / ML / Data Analytics
O-RAN Near Realtime RAN Intelligent Controller (RIC),Networking & Edge
O-RAN Distributed Unit Low Layers (ODULOW),Networking & Edge
Minicoredumper,Linux Kernel
ONAP Operations Manager (OOM),Networking & Edge
Open Lineage,AI / ML / Data Analytics
Open Programmable Infrastructure,Cloud
Nexoedge,Networking & Edge
ODL Service Abstraction Framework (SAF),Networking & Edge
Open Voice Network Trustmark Initiative,Web App Development
NetVirt,Networking & Edge
Notary,Cloud
Open Container Initiative (OCI),Cloud
Moon,Cloud
ODL Root Parent,Networking & Edge
O-RAN Distributed Unit High Layers (ODUHIGH),Networking & Edge
ODL Micro,Networking & Edge
Open Developer Platform,DevOps
ONAP Command Line Interface (CLI),Networking & Edge
O-RAN Infrastructure (INF),Networking & Edge
ONMI Project,Networking & Edge
O-RAN Non-Realtime RAN Intelligent Controller (NONRTRIC),Networking & Edge
OpenAPI Initiative,Web App Development
Open 3D Engine Project (O3DE),Cloud
NFF-Go,Networking & Edge
Milvus,AI / ML / Data Analytics
Open Enclave SDK,Privacy & Security
ONAP Integration,Networking & Edge
ONAP Documentation,Networking & Edge
ONAP University,Networking & Edge
Open Policy Agent,Cloud
O-RAN Documentation (DOC),Networking & Edge
Mobile Native Foundation,Web App Development
NODE Collective,Cross-Technology
Mocha,Web App Development
O-RAN Simulations (SIM),DevOps
OAuth2 Proxy,Cloud
O-RAN Radio Unit (ORU),Networking & Edge
monocle,AI / ML / Data Analytics
Nephio Project,Networking & Edge
Open Shading Language,Cross-Technology
NFVbench,Networking & Edge
Open Glossary for Edge Computing,Networking & Edge
Microservices Bus (MSB),Networking & Edge
Open Key Chain Manager (openKCM),Cross-Technology
Open Review Initiative,Visual Effects
Open vSwitch (OVS),Networking & Edge
nvm,Web App Development
O-RAN Service Management and Orchestration (SMO),Networking & Edge
Open Source Readiness Special Interest Group,Cross-Technology
NeoNephos Foundation,Cloud
MLflow,AI / ML / Data Analytics
ODL Guice,Networking & Edge
Open Mainframe Project (OMP),Cross-Technology
Occlum,Privacy & Security
Open Source Security Foundation (OpenSSF),Privacy & Security
NETCONF,Networking & Edge
Open Service Broker API PMC,Cloud
NATS,System Administration
Neutron Northbound,Networking & Edge
Multi VIM/Cloud,Networking & Edge
Open Policy Registry (OPCR),Cloud
Open Compliance Program,Open Source Compliance
ODL Controller,Networking & Edge
Network Service Mesh,Cloud
Node-RED,Web App Development
Mirage OS,Cloud
Modules,Cross-Technology
OpenAPV,Visual Effects
ODL Tools,Networking & Edge
ONNX,AI / ML / Data Analytics
Open Micro Frontend Platform,Cloud
Neural Network (NN) Streamer,AI / ML / Data Analytics
Open 3D Foundation,Cloud
Open Source Talent Acceleration Special Interest Group,Open Source Compliance
O-RAN AI/ML Framework,Networking & Edge
NativeScript,Web App Development
Open Security Controller Project (OSC),Privacy & Security
O-RAN Operations and Maintenance (OAM),Networking & Edge
Open Horizon,Networking & Edge
ONAP,Networking & Edge
Morphir,AI / ML / Data Analytics
Open Programmable Infrastructure Fund,Cloud
ONAP Modelling,Networking & Edge
ONAP Policy Framework,Networking & Edge
O-RAN RIC Applications (RICAPP),Networking & Edge
Open Cluster Management,Cloud
O-RAN Integration and Testing (INT),Networking & Edge
Open Accessibility,Linux Kernel
OpenAssetIO,Visual Effects
Open Voice Network Interoperability Initiative,AI / ML / Data Analytics
OSS Review Toolkit (ORT),Open Source Compliance
OS-Climate,AI / ML / Data Analytics
Overture Maps Foundation,AI / ML / Data Analytics
Perses,Cloud
OpenDaylight Integration/Packaging,Networking & Edge
PARSEC,Cloud
OpenHPC Project,AI / ML / Data Analytics
OpenSTX Foundation,IoT & Embedded
Post-Quantum Cryptography Alliance,Quantum Computing
OpenTimelineIO,Visual Effects
OpenEXR,Visual Effects
ORES (Open Renewal Energy Systems),Cross-Technology
Ortelius,DevOps
OPS-5G,Networking & Edge
OSV Schema,Privacy & Security
OpenPrinting CUPS Filters,IoT & Embedded
OpenJS Foundation,Web App Development
OpenCue,Visual Effects
Plastic,Networking & Edge
OpenLEADR,Cross-Technology
QGroundControl,Safety-Critical Systems
OpenChain Project,Open Source Compliance
OS-Climate Data Commons,AI / ML / Data Analytics
OpenDaylight Documentation,Networking & Edge
OpenCHAMI,Cloud
Porter,Cloud
OpenDaylight Integration/Test,Networking & Edge
Quartermaster (QMSTR),Open Source Compliance
Pktgen,Networking & Edge
OpenPrinting,Linux Kernel
Prometheus,Cloud
OpenMAMA Project,AI / ML / Data Analytics
OperatorFabric,Cross-Technology
Pyrrha,Web App Development
PX4,Safety-Critical Systems
OpenPOWER Foundation,Open Hardware
Pixie,Cloud
OpenFunction,Cloud
Podman Container Tools,Cloud
Power Stability Wide Area Monitoring Protection (p-SWAMP),Cross-Technology
R Community,Open Source Compliance
osquery,Privacy & Security
Podman Desktop,Cloud
Piraeus-Datastore,Storage
OpenVDB,Visual Effects
OpenDS4All,AI / ML / Data Analytics
OSLC Handbook,Cross-Technology
OpenKruise,Cloud
OpenQMC,Visual Effects
OpenEBS,Storage
OpenDaylight,Networking & Edge
Paralus,Cloud
OVSDB Integration,Networking & Edge
OpenMAMA Fund,AI / ML / Data Analytics
OpenSTEF,Cross-Technology
PyTorch Foundation,AI / ML / Data Analytics
OpenMessaging,Cloud
OpenSSF Scorecard,Privacy & Security
Presto Project,AI / ML / Data Analytics
OpenFX,Visual Effects
OpenHarvest,Cross-Technology
openIDL,Blockchain
Pharos,Networking & Edge
OpenTofu,Cross-Technology
Product Control Common Template,AI / ML / Data Analytics
Overture Maps Foundation Fund,AI / ML / Data Analytics
RareCamp Foundation,Cross-Technology
Perspective,AI / ML / Data Analytics
R-Ladies,Open Source Compliance
R Validation Hub,System Engineering
OpenGitOps,DevOps
OPNFV Doctor,Networking & Edge
Oxia,AI / ML / Data Analytics
Operator Framework,Cloud
OpenEEW,IoT & Embedded
P4 Fund,Networking & Edge
PowSyBL,Cross-Technology
ORAS (OCI Registry as Storage),Cloud
R2DBC,AI / ML / Data Analytics
OpenPrinting CUPS,IoT & Embedded
PipeCD,Cloud
OpenTelemetry,Cloud
OpenFGA,Cloud
Pyro,AI / ML / Data Analytics
OpenYurt,Cloud
OpenBMC,Privacy & Security
openIDL Project,Blockchain
OpenWallet Foundation,Web App Development
Platform Mesh,Cloud
OpenSearch Software Foundation,Cloud
Project Alvarium,Privacy & Security
QUnit,Web App Development
Portal Platform,Networking & Edge
R Consortium,AI / ML / Data Analytics
OpenColorIO,Visual Effects
PaSh,Cross-Technology
OpenDSM,Cloud
OpenFlow Plugin,Networking & Edge
Paketo Buildpacks,DevOps
OpenImageIO,Cross-Technology
Service Design & Creation (SDC),Networking & Edge
Security Reference Data,AI / ML / Data Analytics
SPIFFE,Cloud
SLSA,Privacy & Security
Symphony Electron,Web App Development
RethinkDB,AI / ML / Data Analytics
Regulation Innovation Special Interest Group,AI / ML / Data Analytics
StackStorm Project,DevOps
sigstore Bootstrap Phase,Cross-Technology
SONiC Foundation,Networking & Edge
Service Utils,Networking & Edge
Reference Model (RM),Networking & Edge
Tazama Project,Cross-Technology
TerseDecompress,System Engineering
Tern,Open Source Compliance
rawtoaces,Visual Effects
Rez,System Administration
Service Orchestrator (SO),Networking & Edge
Spring Bot,AI / ML / Data Analytics
sparklyr,AI / ML / Data Analytics
Telepresence,DevOps
